Server_05, 4.553687091200001; Server_04, 4.553687091200001; Server_07, 4.553687091200001; Server_06, 4.553687091200001; Server_0, 4.553687091200001; Server_02, 4.553687091200001; Server_03, 4.553687091200001; Server_00, 4.999979293782571; Server_01, 4.553687091200001; 
Server_05, 4.505764607523036; Server_04, 4.505764607523036; Server_07, 4.505764607523036; Server_06, 4.505764607523036; Server_0, 4.505764607523036; Server_02, 4.505764607523036; Server_03, 4.505764607523036; Server_00, 4.999977070469404; Server_01, 4.505764607523036; 
Server_05, 4.500618970019644; Server_04, 4.500618970019644; Server_07, 4.500618970019644; Server_06, 4.500618970019644; Server_0, 4.500618970019644; Server_02, 4.500618970019644; Server_03, 4.500618970019644; Server_00, 4.999976831742971; Server_01, 4.500618970019644; 
Server_05, 4.500066461399791; Server_04, 4.500066461399791; Server_07, 4.500066461399791; Server_06, 4.500066461399791; Server_0, 4.500066461399791; Server_02, 4.500066461399791; Server_03, 4.500066461399791; Server_00, 4.999976806109915; Server_01, 4.500066461399791; 
Server_05, 4.500007136238465; Server_04, 4.500007136238465; Server_07, 4.500007136238465; Server_06, 4.500007136238465; Server_0, 4.500007136238465; Server_02, 4.500007136238465; Server_03, 4.500007136238465; Server_00, 4.999976803357587; Server_01, 4.500007136238465; 
Server_05, 4.500000766247773; Server_04, 4.500000766247773; Server_07, 4.500000766247773; Server_06, 4.500000766247773; Server_0, 4.500000766247773; Server_02, 4.500000766247773; Server_03, 4.500000766247773; Server_00, 4.999976803062058; Server_01, 4.500000766247773; 
Server_05, 4.56012962441923; Server_04, 4.56012962441923; Server_07, 4.56012962441923; Server_06, 4.56012962441923; Server_0, 4.56012962441923; Server_02, 4.56012962441923; Server_03, 4.56012962441923; Server_00, 3.132238404867092; Server_01, 4.56012962441923; 
Server_05, 4.468351709345738; Server_04, 4.260087178234672; Server_07, 4.451462836786147; Server_06, 4.398562944953718; Server_0, 4.373155748117491; Server_02, 4.303796522000818; Server_03, 4.525133652563723; Server_00, 2.5376855147015904; Server_01, 4.573817662830922; 
Server_05, 4.3399393530958745; Server_04, 4.38845831954283; Server_07, 4.402079448893699; Server_06, 4.521491894811345; Server_0, 4.3964089917792055; Server_02, 4.313800691261643; Server_03, 4.33191773865379; Server_00, 2.4707023076400123; Server_01, 4.518040362959021; 
Server_05, 4.483143755685376; Server_04, 4.4883534400385106; Server_07, 4.489815997665925; Server_06, 4.502637811414716; Server_0, 4.489207136969422; Server_02, 4.480337138241895; Server_03, 4.482282441393129; Server_00, 2.4688033104607925; Server_01, 4.502267206004046; 
Server_05, 4.4982292451322055; Server_04, 4.4987886307301865; Server_07, 4.4989456716596425; Server_06, 4.500322403427805; Server_0, 4.49888029574016; Server_02, 4.4979278868789025; Server_03, 4.498136762214287; Server_00, 2.465729969709044; Server_01, 4.500282609974841; 
